year,title,type,genre,status,motifs
2004,PRVA,single,electro-folk,official,firstness|ambition|abandonment
2006,STO LICA,album,pop,official,multiplication|mirrors|celebrity
2009,TUĐA SOBA,album,electronic folk,official,rooms|access|privacy
2011,FRIENDLY STAKES,television album,jazz-pop,official,games|class|risk
2012,NA UGOVOR I NA SAT,single,industrial pop,official,contracts|labor|time
2013,SIGNAL NE POSTOJI,single,electronic,official,signals|silence|failure
2014,KARLYTTA,single,club experimental,official,name|refusal|authority
2014,KARLYTTA: NOĆNI ZAPIS,alternate file,club experimental,disputed,cuts|ownership|guide voice
2016,FORT UMBRALIS,stage work,symphonic electronic,withdrawn,walls|protection|exit
2018,MEMORIA MARIS,opera-film,opera electronic,official,sea|memory|mourning
2020,ZRAKOPERKA,album,futurist pop,relicensed,war|transport|body
2022,NEMA PRIJENOSA,single,minimal electronic,official,broadcast|absence|silence
2023,TI-KA-TAK,single,hardstyle,official,time|compulsion|detonation
2024,ANESTEZIJA,album,clinical pop,official,medicine|consent|body
2025,JOŠ ME IMA,single,anthem,official,survival|quantity|prayer
2025,ARHITEKTURA USPONJENJA,stage cycle,experimental,official,stairs|hierarchy|meaning
2026,SVE JE BILO VANI,unreleased,unknown,announced,testimony|memory|listening
