source,target,relationship,tone,claim_id
karlytta,ognjen-varda,public partnership / alleged coercive control,hostile,C01
karlytta,sonja-dravac,mutual dependence through television,ambivalent,C02
karlytta,dorian-belic,artist-producer collaboration,fractured,C03
karlytta,sven-rasto,artist-engineer / witness,uncertain,C03
karlytta,mina-plevnik,artist-fan archivist,protective conflict,C06
karlytta,marta-orel,collaborators across cultural hierarchy,intimate rivalry,C06
karlytta,nika-rime,mentor and marketed replacement,unstable solidarity,C09
karlytta,lea-pazic,client-attorney,disciplined trust,C01
ognjen-varda,veselin-trn,state-media continuity,strategic alliance,C02
the-doctor,karlytta,structural parallel,indirect,C10
the-doctor,RP Network,medical privacy conflict,potentially hostile,C10
